cat	prod_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3
cloth	B0013EQ20Y	i really like these boots. they can be a beast to get on, like any boot fit to last; once on, they are incredibly comfortable. I have had them for 4 years and they still look great - worn in but not worn out...	What great boots! They do take some breaking in - like all real leather does. Run maybe a tad small in the general spectrum, but hey, remember the break in period. Look fabulous, will last me for the next twenty years.... They bridge the fashion vs. function quandary beautifully.	Every woman needs a pair of these Frye boots! Fit is true to normal size. I wear a standard 9. These fit in the shaft for any ladies who have bigger calves as I do. You have to fight to get them on first few times and they wear stiff until fully broken in. Worth the money and break in time.	Boots excellent quality, beautiful skin, a modern model. But! they are very narrow! This is the second pair of shoes is a brand and my 8.5 size fits me perfectly, even he little more than usual. But these are very narrow! go to a cobbler, let him try to stretch. Be careful!	bought these for the wife to have something to kick around in and keep up with the kids, but she doesn't like them. Her heel lifts with every step, and they're stiff and heavy. Not an everyday casual shoe.	Don't get me wrong, they're really good boots, but they used to make them better. My last pair from a few years ago were much higher quality. Thicker sole, better full grain leather, now they only make the black in 'grease', which stains all my socks black. Keeping them, but still disappointed in Frye.	i bought it just for the heavy snow cuz my UGG got wet through.even though it is a little expensive, but the boots are nice and it was shipped to me for only two days.!!!!!! i love it	They were comfortable the moment I put them on. The sizes are exact. The color the way they are made are what I expect from Frye which I've been wearing since the 70's. With a 20year break from not wearing Frye it was a pleasant surprise the quality has stood the test of time.	Nice boots but run a bit narrow. They look great but I think the quality has come down over the years. Still comfortable but I wish they broke in easier. I recommend these for any lady who is patient and looking for comfort.	These boots run fairly true-to-size, but they aren't super easy to get on at first. They're comfortable, but a short break-in period is needed, at least in my experience. They look great on and they're very durable, but they are not the lightest boots you can wear. As long as you aren't expecting feather light footwear, this shouldn't be a problem. They are a nice blend of function and fashion and that's not always easy to find in boots.	These boots are great, excellent quality, incredibly comfortable and the sizes are exact. It's a little expensive, but will last me for about twenty years. The shipping was fast, two days. I love it.
cloth	B001QCZ3E4	This shoe is very classy and chic. The colour is rich and goes very well with almost any navy blue outfit. However, it fit me a bit snug to the front probably because my feet are a bit broader. And you do have to order the size a 1 / 2 inch bigger than you normally wear.	this shoe was picked by the 'bride to be' for her upcoming wedding this weekend. The other bridesmaids paid over $80.00 in a dept. store. I found my daughter 'bridesmaid' the exact same shoe for much less. The quality is the same. the brand is the same, the look is the same and it fits perfectly.	I love the look of these shoes and they will forever be special to me as I wore them at my wedding. Had a few cosmos right after our ceremony so did not notice any comfort issues throughout the night, but the next morning my feet felt like they had been pinched around the toe area.	These are VERY nice shoes and so pretty, but there is a rim inside the top of the shoes by my toes that rub them and could cause a blister or sore, so even though they are great to look at they are not that comfortable.	These shoes run 0.5 size small, I had to exchange and pay for return shipping. Order 0.5 size larger than you usually wear, and they won't hurt or give you blisters even around the toe. Remember - this is not natural leather, so don't hope to break in them. If you pick right size, they are very comfortable and cute.	I bought these in navy to wear in my sisters wedding. They matched my navy satin dress perfectly and were super comfortable. I wore these shoes longer than I have worn any heels. The lower heel gave me just enough height, but not to much to make me unsteady. Looking forward to wearing them again and again!	These shoes run appropriate to size (I'm a size 9), but I felt like they pinched my toes as I have a wider foot. The shorter heel is nice so you don't have to worry about tripping- but I sent them back as I didn't find them comfortable.	Great Fast Amazon shipping, and the show itself is a really nice bright yellow, perfect for that pop of color I was looking for. I'm five months pregnant and needed a comfortable shoe for a wedding and these completely fit the bill. I would buy again.	Very pretty shoes and nice quality. The shoes run a bit small, about half a size and there is a ridge in the shoe that rubs on your toe. Nice formal night shoe, not so much for every day.	Great fast amazon shipping. This shoe is very chic, classic and with a rich color that blends with almost any navy blue colored outfit. I love the look of the shoes and would be forever special to me. There is a rim inside the topmost part of the shoes that could cause blister to my toes.	These shoes are best fit and nice looking for parties or specially for wedding functions. The toe of the show can be a challenge for some feet and may make the feet sore due to the rim to keep the shape perfect. Overall price wise and looks are great and would recommend for long term use.
cloth	B0040EIHQQ	This pendant is so unique!! The design is beautiful and the bail is a ring instead of the typical bail which gives it a nice touch!! All the corners are smooth and my daughter loves it - looks great on her.I cannot say anything about the chain because used our own chain.:) Satisfied.	It look perfect in a womens neck!! great gift, I thought for the price it was going to look cheap, but I was far wrong. It look great.Spect great reward from your woman when you give this to her; D	The prettiest sterling silver piece I own now. I get so many compliments on this necklace. I bought it for myself from my hubby for Valentine's Day. Why not? When people ask where I got it, I simply say from my loving hubby. And he is off the hook as to what to get me. win + win.	I love hearts and I love 'love':) I do not have any negative feedback, the necklace is perfect and the charm is perfect. I just thought it would have been slightly bigger. Overall, I love my new heart necklace.	When I received the package, I was surprised and amazed because the necklace is so elegant, beautiful and the same as the picture shown here. I really love this necklace. It has a unique pendant designed. I will recommend it to someone to order it now...	Item is nice. Not a great quality item, but right for the price. Charm was larger than I expected (I expected small and elegant, but it was large and almost costume jewelry like). I think it is a good necklace, just not what I expected.	I got this as a present for my GF on Valintines day. She loves it and wears it every day! Its not cheap looking and it hasn't broken yet. The chain hasn't broken either even though it is very thin. Strongly recomend it!	Over all service has been great the only problem, I ordered a purple Mickey Mouse case for iPhone 4S they sent a black, n I felt it was to much trouble n such a small item to send back so needless to say its put back in a drawer somewhere	The necklace is very unique and a great quality for the price.  The charm isn't exactly what is pictured as far as size goes but still very beautiful.  The chain is a bit thin but seems to have good durability. Overall I would recommend this to anyone looking to add a beautiful piece to their jewelry collection.	This necklace is beautiful and well-made for the price. Even though the chain is thin it hasn't broken. The pendant is really nice, but it is hard to tell the size from the photos. It would look great around the neck of any woman you get it for!	This necklace is a beautiful and unique piece to add to your own or a loved one's jewlery collection. The pendant is unique and the bail is a ring making this sterling silver necklace an elegant looking piece. It has a very strong chain also so it can be shown off and enjoyed for a long time.
cloth	B0052PKEYK	Although the quality of construction seems adequate, the sizing isn't accurate. I ordered a size 34 which is the size I normally wear and the suit not only pinches around my legs but also is almost uncomfortably tight around the waist.	The suit seemed ok in quality however it was the wrong size. It is always a gamble buying online even following the sizing chart. I did return it and got a refund but Amazon failed to fight for the sale and make it right. I went to a local store and purchased what I liked.	Fits well and has a nice draw string to keep them tight. I bought a size small so that I would not have to worry about them falling off but I should have bought my correct size as they fit true to size.	The only reason for the 1-star reduction, is the seams around the legs are pretty stiff and tight. However, the seams appear to be loosening up a bit though with use. I typically wear a size 32 but had to get a 34 for this suit.	The size on the waist was correct, but if you have large thighs like I do, or should I say muscular thighs, it will be a tight fit. It is very tight to get past my thighs, then it wasn't so bad. The waist was a 38, no problem there. It will be a tight fit on most guys.	I got this swimsuit a month ago. I swim 5 days a week for about an hour and 15 min. I washed the suit after every practice. It tookabout 2 weeks for a fabric to loose all elasticity. After two more weeks the suit basically fell apart. Avoid!	I wear a 32 and I read some of the reviews and yes it does have a nice feel and fit but does run small with that being said I ordered a 34 and it was a nice fit and feel but I think a 36 would have been a better fut	I haven't swam in it much yet but fit is good. I bought two different styles. Both were speedos. I am not a swimmer so this is a first purchase of speedos. Training for my 3rd marathon and wanted to add swimming as part of my workout.	The suit fits ok on me, it is good around the waist but tight in the legs/thighs. I will probably return this and move up a size, it's easier to use the drawstring on the waist than deal with a swimsuit strangling my thighs. Consider a larger size than normal if you have large thighs.	This suit is a good fit for me. It may fit tight on guys with large thighs. I like the feel of this suit and the style is good for anyone swimming as a workout or doing any real training. It may run a bit small though it does seem to stretch at the seams with use and wear.	The suit tends to run a bit small as the fitting in the waist was adequate but it was tight in the thighs. After heavy use the seams tend to loosen up and even loose the elasticity over time. Overall it's a nice suit, has a nice feel, and is nicely constructed.
cloth	B005BQ6YYO	Fit as expected. Have trouble with my feet: neuromas, plantar fasciitis, and bunion. Looking for comfortable cushioned for quick trips to run errands without putting on sneakers and sneakers. These work great for me but not for all day use.	The shoe is so comfortable and I bought another 'walking' shoe by Ahnu which is perfect too.Needed a cute and comfy shoe to do lots of walking in Europe this Spring. These will fit the bill.I found this style was a little big so I had to get a half size smaller and it is great.LO	Reviews said to buy a size smaller. I wear a 7 so ordered the 6.5. It was still too big, and I'm guessing a 6 would fit. I bought the Ahnu sandal at 6.5 and it fit perfectly. I plan to reorder the shoe but in a size 6.	I always take a 7 or 7.5, in fact own a pair of flipflops from this brand in a 7, decided to order 7.5 and it fits more like a 8.5 or even a 9. Way too large. Am returning & hope to replace with a smaller size.	I would recommend these shoes to anyone looking for a very comfortable walking shoe with some style. I can wear these instead of sneakers for less casual events. The shoes run big. I normally wear a 7 1 / 2, but ended up with the 7 which fit just right.	I ordered these shoes in a half size smaller than my regular size due to reviews that I read, but they were still too small. They were pretty shoes, so was very disappointed. The company was very good about refunding my money very quickly.	I don't believe these shoes will fit anyone who wears a narrow. If I order my true size, they're too short and my toes hit the front of the shoe yet if I order the next size up they're too wide yet my toes still hit in the same place. Both pairs went back -- bummer!	I am in and out of areas where the footing can be slippery. I wanted a cute but totally functional shoe and this is it. Incredibly lightweight! I bet I could run in these. Great all around casual working shoe.	"This is the perfect ""comfy shoe,"" great for walking around town or casual get togethers. Cute and functional!  They do run a bit big, plan to order them 1/2-1 size smaller than usual. Another very comfortable shoe by Ahnu, would definitely buy again!"	These shoes are lightweight, comfortable, have plenty of support, and are slip resistant. They're great for walking and working, and they look quite nice as well. The only issue is that their size measurements seem inaccurate. You may end up needing to get a size that is either smaller or larger than what you normally get.	Nice, lightweight, comfortable shoes for casual use like walking- if they fit you well. Sizing is confusing, tends to run large and not fit well on wider feet. Expect to need 1/2 size to 1 full size smaller than your normal shoe size.  Try these on in person if possible!
cloth	B005DO7R3G	I usually wear size 37, but found a 38 feels better in this sandal. I absolutely love this sandal. So supportive and comfortable, although at first I did get a blister on my big toe. Do not let this be the deciding factor. It stretched out and is now fabulous. I love it so much that I bought it in three colors.	This is a really cute shoe that feels very comfortable on my high arches. The strap on the instep fits my feet very well, but I have very slim feet. I can see how it would be uncomfortably tight on anyone with more padding on their feet.	I love these sandals. The fit is perfect for my foot, with perfect arch support. I don't think the leather is cheap, and the sandals are very comfortable to walk in. They are very pretty, and pair very well with pants and dresses.	My wife is a nurse and wears dansko shoes. We were excited to try the new crimson sandal and normally order 39 sandal and 40 closed toe. Some other reviews were right about a narrow width and tight toe box. We gave them a try and passed a great pair of shoes to our daughter with her long narrow feet, and she loves them...	Finally, a Dansko sandal that's fashion forward! It was love at first sight! This is my 4th Dansko purchase. Their sizing, quality and comfort is very consistent. I love the stying of this sandal and I'm pleased they are offering bolder colors. Another feature I love is the Dri-Lex topsole - it's soft and keeps feet dry.	I really love these sandals. my only issue is after wearing them for a while my feet started to swell as I have a high instep and they were a little tight across the top. I'm sure they will stretch a bit after a few wears	I have several pairs of Dansko clogs that are all size 39 and fit perfectly. So I felt confident when I ordered the Tasha Sandal in size 39. I don't know if a 40 would be too large but the 39 seems a little small. Otherwise, I love them. They are very cushiony and comfortable!	I own many Dansko shoes and these are among my favorites. They have ALL the support that Dansko offers in its shoes plus they are very attractive. I love the the heel height and instant comfort. They look great with slacks and dresses, dressed up or not...	I love these sandals, Dansko has made a really great product! I had to return my first pair (39) for being a bit tight and small, but I went a size higher (40) and it is perfect, they are so comfortable! If they do stretch out like other reviews say, they will still fit and look great.	I love these Dansko Tasha sandals! They are comfortable and the style is really cute. The only warning I have is that they seem to run narrow: you may want to buy a larger size if you have wide feet. Also, they seem to stretch as you wear them, so don't get discouraged by a few blisters on first wearing.	These Dansko shoes are amazingly comfortable and hug the shape of my feet well, but I did have to wear them for a bit to stretch them out. They felt a little tight at first, but now they are perfect. I feel they're true to size so I'd recommend ordering these in your normal shoe size.
cloth	B007I8G8A8	Love the shorts! Fit beautifully and look great on my hunky hubby! We grew up at the beach and these are definitely back flashes!! Excellent quality, good material, made very well and am very excited! I need to order him more!	As other people mentioned the liner in these are SUPER small. I took them on vacation to Hawaii and on the second day I cut out the bottom of the liner. The waist fits fine but the liner inside is not sized accordingly. I just cut the liner at the bottom so I could be comfortable and all was well after that.	great price nice style these were the best swimwear available during the winter season and compared to the others that i found online these were very sharp (style) and also the price was very decent if your son needs a pair for gym or just swimming i would recommend these to any one	Shorts have a good look and feel. Fit about as expected but the mesh is a little tighter than I'd like. (6 '205lb, wear a size 34 waist and ordered the size large which is quoted to fit a 34.) If you're on the fence, might want to go a size larger.	My wife said I had to buy a proper pair of swim trunks for an upcoming cruise. Seems my use of cut off jeans would embarrass her on the cruise we took. The pockets are deep enough to keep things in and the cargo pockets are good for keeping various items like sunglasses.I guess I will have to retire the cutoffs.	The shorts themselves fit well, but my husband said the inner lining was a little tight. He ended up not wearing them because he was worried about them chaffing. Hopefully they can be stretched or fixed, but I'm not sure.	This is a cheap product and it shows in the material and craftsmanship. The material is rough and it has one of those annoying net liners built in. The stitching seems poorly done and I don't thin it would have lasted long had I actually worn it out into the ocean. I returned the item.	This was an excellent purchase - very sharp looking and seemingly well made (so far anyway) for a great price. What garners only a 4 star is the mesh inner lining is a bit too tight and i had to cut it	These look very nice on.  The mesh in them run a little tight though so you may want to go up in size.  They are roomy in the pockets and can hold onto a lot of items.  They are a great price for the quality and I would highly recommend them to anyone looking for a new pair of swim trunks.	These swim trunks look great and the waist fits as expected for the size. They are also a good deal for the price. However, the inner mesh liner is much smaller than the size of the outer trunks. You will probably have to cut out the mesh liner to wear them comfortably.	These are nice fitting shorts but the mesh liner felt tight and I cut it out. You might want to size up if you are unsure. The deep pockets come in handy. These shorts are stylish and they look good. They are more comfortable if the inner mesh liner is removed.
cloth	B009L0KU46	The shoes are the perfect fit for me. They supply the support that I need yet are flexible and comfortable. I wear these all day in my 2nd grade classroom and my feet are not tired at the end of the day. I will be buying another pair in a different color.	I overpronate and should have known better than to buy these shoes. They are really sharp looking and probably would work for someone with a regular feet. I wish I could have kept them as I did get lots of compliments at the gym when wearing them;)	It is very comfortable and the bottom is really soft on my feet. I usually wear 8 but I had to get a 7 in this. So it ran large for me. I have wide feet though too. Very stylish. I enjoy wearing them running and casually as well.	Got a blister the first time wearing them. They did nothing for the foot pain experienced from wearing cheaper shoes. Guess I was expecting too much, but I refuse to pay the ridiculously high prices charged nowadays. I'm sure they are just as good as those costing $100 more. Nice colors!	These shoes are awsome. I have a really hard time finding running shoes due to a high arch and the need for a shoe between a neutral shoe and a stability shoe These shoes felt great right out of the box. They run true to size and the colors are great. Great shoe for a great price.	These are a MUST HAVE item...!! They are totally awesome on my feet and feel like a dream. I do a lot of power-walking and these little cuties are RAD..!! Totally light weight but real cushie..... LOVE EM 'and would DEFINITELY buy from this seller again..!!	I usually wear a size Women's 10. Nike shoes run small, so I usually waer an 11 in Nike. These Reeboks fit more true to size, but I still ordered a 10.5 and the fit is great! The shoe seems durable and well-made. It forms to my foot and supports my arch very well.	She loves the shoes! My girlfriend is picky about shoes and avoids online purchases. I asked her to find a pair of athletic shoes that look attractive. She gave me her size and I purchased them. They are lightweight and she says they cushion her feet well. She has been wearing them for long walks and tandem bike rides since she received them!	These are lightweight, durable and supportive shoes. They look great and the cushion is quite comfortable. They are perfect for people who have to stand on their feet all day. They feel lightweight on the foot and are great for people with regular sized foot. However, they may not work for someone with very wide feet. Overall, I would recommend these to anyone who needs a supportive comfortable shoe.	I love the look of these shoes, and everyone in my walking group has commented on how great they look! I took the advice of others and ordered a size smaller. They fit just right and are very comfortable. I walk for two hours, 4 times a week, and these shoes have been just what I need.	I love these shoes! They give me great arch support and are very well-made. They fit pretty true to size, but make sure you utilize the sizing chart listed. They are perfect for my daily walk. I love the color. I did get a blister the first time I wore them, but that always happens to me. They just need to be broken in. Now they are the most comfortable shoes I have ever had.
electronics	B000BYGGBW	Yes, HP DVD's are DVD's for the better. Better price. Better quality. I have used these over the years for many different projects and the quality is there and so is the price. I have had trouble with some other brand named DVD's, but not with HP.	Ive always bought the Hp DVD + R 100 pk and find that they go a long way, Seldom do I find a coaster in the pack... Hwever his was my first time purchasing the 100 pk from Amazon, but so far so good.	I have had a ton a problems with these discs. After about 30 minutes of a DVD, it begins to get choppy and become unviewable. Looking at the burn side of the disc, there is a area where you can see the burning stopped and I guess picked again. Do not recommend.	The box was too big and allow the spindle to bounce around in box and plastic covering spindle which keeps the blank DVD in place was broken and DVD were off the spindle. If that is the only size boxes have should put more packing so it will not allow spindle to move at all.	Produces about 25% coasters, and another 10-15% that won't play on DVD players. The first half was about what I expected, a few coasters, a couple minor errors. The second half I was lucky to get maybe 5 that worked flawlessly. No good!	After receiving this DVD + R, I think I should order the 50 piece spindle. I did not burn too often. I believe it is enough for 2 years. I tried a couple of discs, anyway, like it.	Been purchasing only HP DVD + R media for 8 years or more. Always got the HP branded gold coated. Made by CMC, with id of CMCMAGM01001. This batch is not gold as portrayed in the photo, it's silver coated, but still the same id.	Vendor describes the product as being gold in color. It is not it is silver. I know that HP no longer manufactures the gold version.But was hoping this vendor had some gold version of DVD + R in it inventory. They need change the picture and description to silver instead of gold.	These are silver discs, not the gold ones as advertised. The packaging is not good, they need to be packed more securely, the DVDs shouldn't be able to slide around.  The quality of the DVDs is hit or miss. You might have a good batch and then run into several that won't work.	I've always used HP DVD + R discs, but these are silver instead of the gold they used to be. These silver ones are hit or miss. I'll burn 10 DVDs no problem, then get a few coaster in a row. I wish the gold DVD + R were still around. I'm glad I bought the 100 pack in case I have any other issues.	These DVDs work well for the most part, although I did get some coasters. Some seem to work but become choppy about 30 minutes into the video. HP is still better than most other brands though. Take note that these are silver, not gold. Hopefully the vendor updates their images.
electronics	B000V7CPJG	I recently bought this film and slide scanner to scan my grandfather's slide collection. It bleaches out the image with too much light. I tried changing the settings to improve the image quality, but had no luck. The company ArcSoft charges $10.00 per phone call for tech support. You are better off making the investment on a nicer quality scanner.	* * Not Reccommended * * Purchased as a gift in August. Opened a week ago. Spent the last week trying to get Win Xp to recognise the Vu Point scanner. Many drivers and reloads later all I have is a little black box with a red light and a message from windows that says 'USB Device Not Recognised'.	I used the VuPoint Digital Scanner to scan over 1,200 35 mm negatives and about a dozen slides and found this gadget a most user-friendly and efficient tool. I even managed to upload a few black and white negatives from 1963. I recommend the product highly.	While the software was good for Windows XP and Vista, I now have Windows 7 and would like to have software for the newer operating system. The company prefers to sell other products rather than update their software. I can't see recommending this product in today's market.	While most equipment will work with more modern versions of Windows than were available when manufactured this is not true with this scanner. Requires Windows XP means it won't work with earlier OR LATER. Its on its way back for a refund.	I found the VuPoint scanner not acceptable and I am still waiting for a replacement. My contacts with VuPoint were helpful but the equipment still did not produce acceptable images. My contact with the seller has been sporadic, at best, and a replacement unit has not been delivered.I an NOT anxious to deal with these providers again.	Product is very easy to use. Does a great job converting my slide and photo negatives to digital format. Touch-up and enhance program gave me just what I needed to clean up and enhance some of the scans, Company was great to work with!!	Its not worth the time it takes to get the negative to fit in the holders they give you. I'd much rather buy a hp flat bed scanner that lets you see the final photo image and not just an image of the negative. It takes to much time and isn't worth the money.	overall impression of the product is negative. in some cases it works nicely, but the settings are confusing to adjust, sometimes it is not clear if they do anything at all. product is not worth the money that it costs, it better to avoid it.	The product is easy to use. It converted to digital format my slide and photo negatives. Very efficient and user friendly tool. It is mostly compatible for Windows Xp.  The product is not recommended for today's market.	I seems that the VuPoint scanner seems like a good product but between the inconpatable software and trouble with placing the negatives in, many customers dont have the time and want instant results. i would give this scanner a good review if you cant afford a more high product. you wont get a better enhancement feature on a more higher end scanner. Give it a try or return it if you dont like it
